Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Metroid Prime Remastered,Nintendo Switch,Nintendo,Adventure,94.0,8.9,2023.0
Alan Wake II,PC,Epic Games,Survival,87.0,8.2,2023.0
Tears of Avia,PC,PQube,Strategy,62.0,5.5,2020.0
Baldur's Gate: Dark Alliance,Nintendo Switch,Interplay Entertainment,RPG,75.0,7.1,2021.0
Rogue Legacy 2,Nintendo Switch,Cellar Door Games,Action,86.0,8.5,2022.0
Desperados III,PC,THQ Nordic,Tactical,86.0,8.0,2020.0
Doom Eternal,PC,Bethesda Softworks,FPS,88.0,8.9,2020.0
Return of the Obra Dinn,Nintendo Switch,3909 LLC,Adventure,89.0,8.3,2018.0
Crusader Kings III, Xbox,Paradox Interactive,Strategy,91.0,8.5,2020.0
Half-Life: Alyx,PC,Valve,FPS,93.0,9.1,2020.0
Resident Evil 4 Remake,PS5,Capcom,Survival,93.0,9.0,2023.0
Sonic Frontiers,PC,Sega,Action,72.0,8.2,2022.0
Call of Duty: Modern Warfare II,PC,Activision,FPS,76.0,5.7,2022.0
Dying Light 2 Stay Human,PC,Techland,Action,76.0,5.6,2022.0
Evil West,PC,Focus Entertainment,Action,73.0,6.5,2022.0
Nier: Reincarnation,Mobile,Square Enix,RPG,74.0,6.3,2021.0
The Legend of Zelda: Tears of the Kingdom,Nintendo,Nintendo,Action,96.0,8.4,2023.0
Wii Sports,Wii,Nintendo,Sports,76.0,8.0,2006.0
Mario Kart Wii,Wii,Nintendo,Racing,82.0,8.3,2008.0
Wii Sports Resort,Wii,Nintendo,Sports,80.0,8.0,2009.0
New Super Mario Bros.,DS,Nintendo,Platform,89.0,8.5,2006.0
Wii Play,Wii,Nintendo,Misc,58.0,6.6,2006.0
New Super Mario Bros. Wii,Wii,Nintendo,Platform,87.0,8.4,2009.0
Mario Kart DS,DS,Nintendo,Racing,91.0,8.6,2005.0
Wii Fit,Wii,Nintendo,Sports,80.0,7.7,2007.0
Kinect Adventures!,X360,Microsoft Game Studios,Misc,61.0,6.3,2010.0
Wii Fit Plus,Wii,Nintendo,Sports,80.0,7.4,2009.0
Grand Theft Auto V,PS3,Take-Two Interactive,Action,97.0,8.2,2013.0
Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,Action,95.0,9.0,2004.0
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Misc,77.0,7.9,2005.0
Grand Theft Auto V,X360,Take-Two Interactive,Action,97.0,8.1,2013.0
Grand Theft Auto: Vice City,PS2,Take-Two Interactive,Action,95.0,8.7,2002.0
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Puzzle,77.0,7.1,2005.0
Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,Racing,95.0,8.4,2001.0
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,88.0,3.4,2011.0
Call of Duty: Black Ops,X360,Activision,Shooter,87.0,6.3,2010.0
Call of Duty: Black Ops II,PS3,Activision,Shooter,83.0,5.3,2012.0
Call of Duty: Black Ops II,X360,Activision,Shooter,83.0,4.8,2012.0
Call of Duty: Modern Warfare 2,X360,Activision,Shooter,94.0,6.3,2009.0
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,88.0,3.2,2011.0
Grand Theft Auto III,PS2,Take-Two Interactive,Action,97.0,8.5,2001.0
Super Smash Bros. Brawl,Wii,Nintendo,Fighting,93.0,8.9,2008.0
Mario Kart 7,3DS,Nintendo,Racing,85.0,8.2,2011.0
Call of Duty: Black Ops,PS3,Activision,Shooter,88.0,6.4,2010.0
Grand Theft Auto V,PS4,Take-Two Interactive,Action,97.0,8.3,2014.0
Animal Crossing: Wild World,DS,Nintendo,Simulation,86.0,8.7,2005.0
Halo 3,X360,Microsoft Game Studios,Shooter,94.0,7.8,2007.0
